"","tit","voto_IMDB","num_IMDB"
"20812","I cuori infranti ","7","8"
"20813","PARIGI O CARA ","7.4","39"
"20814","Leoni al sole ","6.6","39"
"20815","UN ANGELO PER RIBOT ",NA,NA
"20816","Angeli con la pistola ","7.3","5213"
"20817","Un uomo da vendere ","6.3","2079"
"20818","LA GRANDE CACCIA ","5.3","299"
"20819","LA TROVATELLA DI MILANO ",NA,NA
"20820","IL PICCOLO VETRAIO ",NA,NA
"20821","Il pescatore di Posilippo ",NA,NA
"20822","SS CONTRO LE SPIE ","6.5","21"
"20823","La ragazza della salina ","7","25"
"20824","Canzoni a tempo di twist ",NA,NA
"20825","MOTIVO IN MASCHERA ",NA,NA
"20826","Al servizio dell'imperatore ",NA,NA
"20827","L'uccello del Paradiso ","7.6","11"
"20828","RIO NEGRO ","6.6","375"
"20829","ORFEO NEGRO ","7.5","8432"
"20830","LA DONNA DI SAIGON ","7.2","18"
"20831","Rosmunda e Alboino ","5.5","129"
"20832","URSUS ","5.8","112"
"20833","MACISTE NELLA VALLE DEI RE ","5.4","141"
"20834","FONTANA DI TREVI ","4.8","8"
"20835","IL TERRORE DEI BARBARI ","5.7","232"
"20836","Capitan Fuoco ","5.3","48"
"20837","Serenatella sciuè sciuè ",NA,NA
"20838","Ascoltami ",NA,NA
"20839","L'ANGELO DELLE ALPI ",NA,NA
"20840","MAMMA SCONOSCIUTA ","8","11"
"20841","LA CANZONE DEL CUORE ","7.3","62"
"20842","TORNA PICCINA MIA! ",NA,NA
"20843","Foglio di via ",NA,NA
"20844","L'ORFANA DEL GHETTO ",NA,NA
"20845","IL MISTERO DEL TEMPIO INDIANO ","5.3","63"
"20846","KALI YUG LA DEA DELLA VENDETTA ","5.4","77"
"20847","I BRIGANTI ITALIANI ","6.4","14"
"20848","CRIMEN ","7.2","218"
"20849","VIA MARGUTTA ","6.7","31"
"20850","PRIMO AMORE ","6.9","903"
"20851","Vacanze a Ischia ","6.2","38"
"20852","Suor Letizia ","6.8","22"
"20853","La bella mugnaia ","6.1","238"
"20854","Ulisse ","6.7","2927"
"20855","OCCHI SENZA LUCE ",NA,NA
"20856","Canzone proibita ",NA,NA
"20857","RIGOLETTO E LA SUA TRAGEDIA ","5.4","20"
"20858","NAPOLI PIANGE E RIDE ",NA,NA
"20859","Accadde di notte ",NA,NA
"20860","QUANDO L'ODIO BRUCIA ","6.5","43"
"20861","IL SEGRETO DI ELENA ","7.2","6"
"20862","LE AVVENTURE DI TOPO GIGIO ","5.6","35"
"20863","Attenzione: guerra ",NA,NA
"20864","RETAGGIO DI SANGUE ",NA,NA
"20865","TRIESTE CANTICO D'AMORE ",NA,NA
"20866","DONNE SENZA PARADISO ","5.7","133"
"20867","Goliath e la schiava ribelle ","6.1","57"
"20868","IL SEGNO DI ZORRO ","7.2","1910"
"20869","IL SEGNO DEL COYOTE ","4.2","56"
"20870","ULISSE CONTRO ERCOLE ","5.2","149"
"20871","PISTOLE FIAMMEGGIANTI ","5.1","100"
"20872","FRONTIERA INDIANA ","5.2","67"
"20873","Cinque pistole ","5.1","98"
"20874","RIVOLTA INDIANA NEL WEST ","6","104"
"20875","UNA CORDA PER IL PISTOLERO ","5.5","126"
"20876","I SENZA PAURA ","4.1","27"
"20877","Bersaglio umano ","6.5","622"
"20878","IL SINDACATO DEL VIZIO ","5.3","194"
"20879","TRE VENGONO PER UCCIDERE ","5.6","62"
"20880","Agente federale ","5.5","159"
"20881","Assalto dallo spazio ","5","1311"
"20882","I MASTINI DEL WEST ","5.1","84"
"20883","DODICI UOMINI DA UCCIDERE ",NA,NA
"20884","Il mostro dell'astronave ","6.1","3958"
"20885","GIUNGLA DI SPIE ","5.3","111"
"20886","LA BANDA DI LAS VEGAS ","6.4","293"
"20887","GLI ARDITI DEL 7° FUCILIERI ",NA,NA
"20888","IL SEGRETO DI MORA TAU ","5.1","745"
"20889","PROCESSO AL ROCK AND ROLL ","5.7","115"
"20890","LA CARNE E LO SPERONE ","5.1","90"
"20891","Banditi atomici ","5.5","889"
"20892","Canto amore e cha cha cha ","4.6","13"
"20893","Accadde a Buenos Aires ","6.4","7"
"20894","SCORCIATOIA PER L'INFERNO ","5.8","204"
"20895","ELETTRA ","7.7","1077"
"20896","IL RELITTO ","7.9","37"
"20897","RAGAZZA IN NERO ","7.8","787"
"20898","STELLA CORTIGIANA DEL PIREO ","8","2102"
"20899","Non è peccato ","7.1","3884"
"20900","LA RAGAZZA CHE HO LASCIATO ","5.4","302"
"20901","L'inferno è a Dien Bien Fu ","5.5","140"
"20902","RICCARDO CUOR DI LEONE ","5.7","614"
"20903","L'INVASORE BIANCO ","6.4","385"
"20904","I QUATTRO TASSISTI ","6.1","24"
"20905","I QUATTRO TASSISTI ","6.1","24"
"20906","I QUATTRO TASSISTI ","6.1","24"
"20907","Totò e Peppino divisi a Berlino ","6.6","237"
"20908","IL CAMBIO DELLA GUARDIA ","5.8","120"
"20909","PECCATI D'ESTATE ","3.6","8"
"20910","Il mio amico Benito ","5.9","27"
"20911","MANI IN ALTO ","7.9","7"
"20912","Gli attendenti ","5.6","11"
"20913","FEMMINE DI LUSSO ","6.8","841"
"20914","CHIAMATE 22-22 TENENTE SHERIDAN ","5","7"
"20915","LE OLIMPIADI DEI MARITI ","6.4","26"
"20916","Brevi amori a Palma di Majorca ","5.4","62"
"20917","Uomini e nobiluomini ","5.9","21"
"20918","Il Moralista ","6.7","182"
"20919","La nipote Sabella ","6.1","39"
"20920","Gli zitelloni ","6.4","30"
"20921","Il conte Max ","4.4","119"
"20922","Buonanotte... avvocato! ","6.2","77"
"20923","IO PIACCIO ","5.9","26"
"20924","L'OMBRA ",NA,NA
"20925","Accadde al penitenziario ","6.4","86"
"20926","Non c'è amore più grande ","5.6","7"
"20927","GRAZIELLA ","6","22"
"20928","VITE PERDUTE ",NA,NA
"20929","ITALIA PROIBITA ",NA,NA
"20930","IN VACANZA AL MARE ",NA,NA
"20931","Pantano d'Avio ",NA,NA
"20932","La commare secca ","6.9","1858"
"20933","Pensione Edelweiss ","5.8","74"
"20934","La canzone più bella ",NA,NA
"20935","Anonima ricatti ","6.8","24"
"20936","IL GIOVANE LEONE ","6.4","50"
"20937","TAMANGO ","6.6","154"
"20938","IL GRANDE SEDUTTORE ","6","79"
"20939","SONO UN SENTIMENTALE ",NA,NA
"20940","SILENZIO... SI SPARA! ","6.1","95"
"20941","GABY ",NA,NA
"20942","Oltre il destino ","6.9","793"
"20943","Lord Brummell ","6.4","1151"
"20944","TRE ORIUNDI CONTRO ERCOLE ","6.4","838"
"20945","LA VENDETTA DEL DOTTOR K. ","5.8","3696"
"20946","LA REGINA DI VENERE ","4.6","1634"
"20947","QUANTRILL IL RIBELLE ","5.4","195"
"20948","I QUATTRO PISTOLEROS ","6.1","25"
"20949","IL CAVALIERE DELLA TEMPESTA ","5.9","58"
"20950","Mondo senza fine ","7","7210"
"20951","MATCH CONTRO LA MORTE ","6.8","5"
"20952","QUESTIONE DI PELLE ","5.6","38"
"20953","PATTUGLIA D'ASSALTO ","6.8","20"
"20954","LA VEDOVA ELETTRICA ","6.3","28"
"20955","FRUTTO D'ESTATE ","5.6","7"
"20956","La ballata del boia ","8.1","4612"
"20957","Le quattro verità ",NA,NA
"20958","IL CORVO E LA VOLPE ",NA,NA
"20959","I DUE PICCIONI ",NA,NA
"20960","Arrivederci Dimas ","7.4","464"
"20961","Calabuig ","7.6","712"
"20962","SALVATE LA TERRA! ","5.2","431"
"20963","L'ASSASSINO HA LASCIATO LA FIRMA ","6.4","300"
"20964","LA STRADA DEI PECCATORI ","6","33"
"20965","GLI AVVENTURIERI DEI TROPICI ","5.2","6"
"20966","A proposito di tutte queste... signore ","5.7","1534"
"20967","Il silenzio ","8","15104"
"20968","Luci d'inverno ","8.1","17843"
"20969","Come in uno specchio ","8.1","19150"
"20970","L'OCCHIO DEL DIAVOLO ","7.2","2926"
"20971","La fontana della vergine ","8.1","22875"
"20972","IL VOLTO ","7.7","7597"
"20973","Alle soglie della vita ","7.7","1951"
"20974","IL POSTO DELLE FRAGOLE ","8.2","81375"
"20975","IL SETTIMO SIGILLO ","8.2","138951"
"20976","SORRISI DI UNA NOTTE D'ESTATE ","7.9","10687"
"20977","Sogni di donna ","7.2","1987"
"20978","LEZIONE D'AMORE ","7.1","2232"
"20979","Berlino est passaporto falso ","6","84"
"20980","LA GUERRA DI DOMANI ","5.2","1125"
"20981","U 570 Contrattacco siluri ","4.8","181"
"20982","Congo vivo ","7.8","11"
"20983","Labbra rosse ",NA,NA
"20984","L'amico del giaguaro ","6.7","18"
"20985","La mina ","4.3","217"
"20986","Non scherzare con le donne ",NA,NA
"20987","Operazione notte ",NA,NA
"20988","Musoduro ","6","8"
"20989","Avventura a Malaga ","6.8","53"
"20990","All'est si muore ","6.9","99"
"20991","I FUCILIERI DEL BENGALA ","5.7","320"
"20992","Il selvaggio ","6.9","12990"
"20993","LE CALDE NOTTI DI PARIGI ","5.8","18"
"20994","Il pensionato ","6.7","27"
"20995","IL SEGRETO DELLA SIERRA DOURADA ",NA,NA
"20996","I FUORILEGGE DI TOMBSTONE ","5.3","117"
"20997","Robin Hood del Rio Grande ","6.5","96"
"20998","LA RIVOLTA DEI SEMINOLE ","5.1","121"
"20999","L'ORMA DEL LEOPARDO ","5.7","121"
"21000","NUDA PER IL DIAVOLO ","6.6","5"
"21001","PETER VOSS IL LADRO DEI MILIONI ","6.1","72"
"21002","Allegri prigionieri ","6.5","10"
"21003","QUELLO CHE SPARA PER PRIMO ","6.6","284"
"21004","Il buco ","8.5","12259"
"21005","MONTPARNASSE ","7.5","933"
"21006","Le avventure di Arsenio Lupin ","6.5","393"
"21007","Alì babà ",NA,NA
"21008","Grisbì ","7.9","5698"
"21009","Carovana verso il West ","6","243"
"21010","PREDA BIONDA ","5.3","72"
"21011","La frusta e il corpo ","6.9","2803"
"21012","I TRE VOLTI DELLA PAURA ","7.2","8754"
"21013","LA RAGAZZA CHE SAPEVA TROPPO ","6.7","43304"
"21014","ERCOLE AL CENTRO DELLA TERRA ","6.4","1370"
"21015","GLI INVASORI ","8.1","1956"
"21016","Le meraviglie di Aladino ","5.7","232"
"21017","LA MASCHERA DEL DEMONIO ","7.3","11633"
"21018","ERO UN SOLDATO ","7.4","20"
"21019","MITRAGLIATELI SENZA PIETA' ","7.6","287"
"21020","Gli arcangeli ","7.3","32"
"21021","IO... MIO FIGLIO E LA FIDANZATA ","6","91"
"21022","IL MILIARDO L'EREDITO IO ","5.3","106"
"21023","DINAMITE JACK ","5.6","62"
"21024","GLI AVVENTURIERI DEL MEKONG ","6","23"
"21025","Sangue di zingara ",NA,NA
"21026","TOBY TYLER ","7.1","754"
"21027","Geremia cane e spia ","6.5","3692"
"21028","LA RIVINCITA DI ZORRO ","6.5","154"
"21029","GIANNI E PINOTTO BANDITI COL BOTTO ","6.3","702"
"21030","DUE VOLTE NON SI MUORE ","6.9","56"
"21031","Anastasia l'ultima figlia dello zar ","6","65"
"21032","OPERAZIONE WALKIRIA ","6.9","124"
"21033","Quando l'amore è veleno ","4.8","21"
"21034","PROCESSO A PORTE CHIUSE ","4.7","193"
"21035","IL DISCEPOLO DEL DIAVOLO ","7.3","1832"
"21036","MANUELA ","5.6","150"
"21037","LA GIUNGLA DEGLI IMPLACABILI ","7.1","1914"
"21038","La scuola dei dritti ","7.5","2720"
"21039","IL CAPRO ESPIATORIO ","7.1","1440"
"21040","DUE INGLESI A PARIGI ","5.7","343"
"21041","PADRE BROWN ","7.7","5215"
"21042","IL SUO ANGELO CUSTODE ","6.5","731"
"21043","EVIDENCE IN CONCRETE ","7.1","228"
"21044","LA TRAPPOLA DI GHIACCIO ","7","339"
"21045","DELITTO IMPLACABILE ",NA,NA
"21046","LA RUOTA ",NA,NA
"21047","La primula azzurra dei bassifondi di Parigi ",NA,NA
"21048","URAGANO SUL PO ",NA,NA
"21049","I SICARI DI HITLER ","6.4","33"
"21050","Clandestina a Tahiti ","5.7","17"
"21051","DELITTO BLU ","7","121"
"21052","Club di ragazze ","6.5","8"
"21053","LA LEGGE DELLA STRADA ","3","554"
"21054","UOMINI IN BIANCO ","6.4","552"
"21055","Questa è la mia donna ","6.3","58"
"21056","LA DONNA NELLE TENEBRE ","6.4","404"
"21057","DONNE SENZA UOMINI ","6.3","2169"
"21058","I PERDUTI DELL'ISOLA DEGLI SQUALI ","5.8","64"
"21059","Corruzione nella città ",NA,NA
"21060","Eredità selvaggia ",NA,NA
"21061","Esecuzione al tramonto ","6.1","393"
"21062","LA RIVOLTA DEI COWBOYS ","6.2","186"
"21063","IL GRIDO DELLE AQUILE ","5.8","131"
"21064","LE TENTAZIONI DELLA NOTTE ",NA,NA
"21065","Assassino sulla Costa Azzurra ",NA,NA
"21066","NAPOLEONE BONAPARTE ","6.2","411"
"21067","TARZAN IN INDIA ","5.5","381"
"21068","IL GENERALE NON SI ARRENDE ","5.8","573"
"21069","I GANGSTERS DI PICCADILLY ","7.1","889"
"21070","FURTO ALLA BANCA D'INGHILTERRA ","6.7","643"
"21071","Il terrore corre sul fiume ","6.6","961"
"21072","TUTTA LA VERITA' ","7.9","13"
"21073","LA BATTAGLIA SEGRETA DI MONTGOMERY ","7","972"
"21074","Città sotto inchiesta ",NA,NA
"21075","IL PORTO DEL VIZIO ","7","30"
"21076","L'ULTIMO AGGUATO ","5.8","421"
"21077","CRONACHE DEL '22 ",NA,NA
"21078","LA NUOVA LEGGE ",NA,NA
"21079","LO SQUADRISTA ",NA,NA
"21080","SPEDIZIONE PUNITIVA ",NA,NA
"21081","GIORNO DI PAGA ","7.6","3059"
"21082","...E la terra prese fuoco ","7.2","3991"
"21083","SCOTLAND YARD: MOSAICO DI UN DELITTO ","7.2","590"
"21084","L'assassino è alla porta ","7.2","770"
"21085","NEMICI DI IERI ","7.1","502"
"21086","LA MORSA ","6","419"
"21087","ESPRESSO BONGO ","6.3","345"
"21088","L'ISOLA DEI DISPERATI ","6.5","275"
"21089","I vampiri dello spazio ","7","2910"
"21090","IL MOSTRUOSO UOMO DELLE NEVI ","6.5","2996"
"21091","L'ARMA DEL DELITTO ","6.3","153"
"21092","INTERPOL AGENTE Z 3 ","4.5","42"
"21093","L'ASTRONAVE ATOMICA DEL DOTT QUATERMASS ","6.7","4677"
"21094","IL GRIDO DEL SANGUE ","4.9","40"
"21095","LA SPADA DI ROBIN HOOD ","5.9","171"
"21096","DIFENDO IL MIO NOME ",NA,NA
"21097","Bellezze sulla spiaggia ","4.5","14"
"21098","Dal sabato al lunedì ",NA,NA
"21099","KANJUT SAR ",NA,NA
"21100","L'URLO DEI BOLIDI ",NA,NA
"21101","Mai ti scorderò ",NA,NA
"21102","La rabbia ","5.1","80"
"21103","SERENGETI NON MORIRA' ","8","338"
"21104","Non c'è più posto per le belve ","7.1","87"
"21105","Bikini pericolosi ","4.3","6"
"21106","NOTTE E NEBBIA ","8.6","15160"
"21107","LA SAETTA NERA ","5.2","41"
"21108","PUGNI... PUPE... E DINAMITE ","6.6","14"
"21109","DUE MINUTI PER DECIDERE ","7.6","24"
"21110","IL TESORO DELL'ISOLA PROIBITA ","6.9","35"
"21111","Bombardamento alta quota ","5.4","43"
"21112","IL FIGLIO DEL CIRCO ",NA,NA
"21113","IL CAPITANO DI FERRO ","4.9","11"
"21114","Giulio Cesare contro i pirati ","5.2","54"
"21115","LA SCHIAVA DI ROMA ","5.7","75"
"21116","LA REGINA DEI TARTARI ","4.6","39"
"21117","LE NOTTI DI LUCREZIA BORGIA ","5.4","27"
"21118","Ciao, ciao bambina ","7.8","12"
"21119","Salambò ","5.2","58"
"21120","Pia de' Tolomei ","6","5"
"21121","IL PIRATA DELLO SPARVIERO NERO ","3.7","50"
"21122","IL DIAVOLO NERO ","6.3","310"
"21123","Giovanni dalle bande nere ","5.3","39"
"21124","LO SPADACCINO MISTERIOSO ","4.7","13"
"21125","Tua per la vita ",NA,NA
"21126","LA CASA DEL PECCATO ","6.2","19"
"21127","LE MANI DELL'ALTRO ","5.8","323"
"21128","Le più belle truffe del mondo ","5.9","303"
"21129","LA BELLE MEUNIERE ","4.1","13"
"21130","OMICRON ","6.8","108"
"21131","RoGoPaG ","7.1","1316"
"21132","I NUOVI ANGELI ","7.9","8"
"21133","IL CERVELLO CHE NON VOLEVA MORIRE ","4.2","5406"
"21134","IL DOMINATORE ","6.1","616"
"21135","LUCE NELLA PIAZZA ","7","1244"
"21136","IL MARCHIO ","7.5","650"
"21137","LA TORTURA DEL SILENZIO ","7.7","1024"
"21138","SOS PACIFIC ","6.3","225"
"21139","MARE DI SABBIA ","6.8","709"
"21140","DELITTO IN TUTA NERA ","6.8","822"
"21141","L'UOMO CHE VIDE IL SUO CADAVERE ","5.9","128"
"21142","IL SEGNO DEL PERICOLO ","6.6","241"
"21143","999 Scotland Yard ","6.4","245"
"21144","QUANDO L'INFERNO SI SCATENA ","5.9","206"
"21145","Il pianeta dove l'Inferno è verde ","3.4","654"
"21146","800 Leghe sull'Amazzonia ","5.2","32"
"21147","GLI ORRORI DEL MUSEO NERO ","6","942"
"21148","LA LEGGE MI INCOLPA ","7","9"
"21149","Il mondo del silenzio ","7.2","1193"
"21150","Ercole alla conquista di Atlantide ","3.9","1106"
"21151","LE VERGINI DI ROMA ","5.1","124"
"21152","LA VENDETTA DI ERCOLE ","5.3","365"
"21153","Messalina, Venere imperatrice ","5.9","110"
"21154","LE LEGIONI DI CLEOPATRA ","5.6","189"
"21155","LA RIVOLTA DEI GLADIATORI ","5.4","130"
"21156","Avanzi di galera ","6.6","39"
"21157","Nel gorgo del peccato ","6.6","108"
"21158","Una donna libera ","7","49"
"21159","IN AMORE SI PECCA IN DUE ",NA,NA
"21160","All'ombra del Kilimangiaro ","7","9"
"21161","LA RIVOLTA DEI MERCENARI ","4.8","32"
"21162","LA RAGAZZA DI PIAZZA S PIETRO ","5.6","16"
"21163","STORIA DI UNA MINORENNE ",NA,NA
"21164","LA CATENA DELL'ODIO ","5","6"
"21165","LA BARRIERA DELLA LEGGE ",NA,NA
"21166","L'ULTIMA GARA ",NA,NA
"21167","IL TERRORE DEI MANTELLI ROSSI ","4.1","14"
"21168","Il gladiatore di Roma ","5","89"
"21169","Il figlio dello Sceicco ","7.3","1643"
"21170","Gordon il pirata nero ","5.1","139"
"21171","IL CONQUISTATORE DI CORINTO ","4.7","102"
"21172","La Venere dei pirati ","5.3","87"
"21173","I REALI DI FRANCIA ","6.3","12"
"21174","LA LUCE SUL MONTE ",NA,NA
"21175","Il cavaliere del castello maledetto ","5","23"
"21176","VIA COL... PARAVENTO ",NA,NA
"21177","Addio per sempre! ",NA,NA
"21178","LE BELLE DELL'ARIA ",NA,NA
"21179","Arrivano i dollari! ","6.8","101"
"21180","PRIGIONIERI DEL MALE ","6.4","8"
"21181","GLI AMORI DI MANON LESCAUT ","5.1","9"
"21182","PIETA' PER CHI CADE ","6.6","7"
"21183","PER SALVARTI HO PECCATO ",NA,NA
"21184","VIOLENZA SUL LAGO ",NA,NA
"21185","Argos alla riscossa ","3.4","1014"
"21186","SETE D'AMORE ","5.9","15"
"21187","All'ultimo minuto ","6.1","18"
"21188","La scuola dell'odio ","7.1","1115"
"21189","LA TERZA VOCE ","6.9","110"
"21190","LA STRADA DELLA RAPINA ","6.9","753"
"21191","LA PALUDE MALEDETTA ","5.4","39"
"21192","La donna è un male necessario ","6.7","429"
"21193","La città dei mostri ",NA,NA
"21194","La vergine di cera ","5","6070"
"21195","I DIAVOLI DEL GRAN PRIX ","4.5","210"
"21196","L'UOMO DAGLI OCCHI A RAGGI X ","6.7","5291"
"21197","I maghi del terrore ","6.7","9105"
"21198","I RACCONTI DEL TERRORE ","6.9","5457"
"21199","Sepolto vivo ","6.6","3363"
"21200","L'ODIO ESPLODE A DALLAS ","7.7","2220"
"21201","IL POZZO E IL PENDOLO ","7.1","10905"
"21202","I VIVI E I MORTI ","7","10253"
"21203","Atlas il trionfatore di Atene ","4.1","144"
"21204","LA VITA DI UN GANGSTER ","6.1","194"
"21205","LA LEGGE DEL MITRA ","6.3","1036"
"21206","IL VAMPIRO DEL PIANETA ROSSO ","6.4","1259"
"21207","Il mercenario della morte ","3.2","1283"
"21208","LA PANTERA DEL WEST ","3.9","50"
"21209","Il mostro del Pianeta Perduto ","5.4","1565"
"21210","LA METICCIA DI FUOCO ","4.7","85"
"21211","Cinque colpi di pistola ","4.6","607"
"21212","Opinione pubblica ",NA,NA
"21213","MAIGRET DIRIGE L'INCHIESTA ",NA,NA
"21214","Gli Onorevoli ","7","283"
"21215","Il monaco di Monza ","6.5","242"
"21216","Il figlio di Spartacus ","6","262"
"21217","Il giorno più corto ","6.3","129"
"21218","Lo smemorato di Collegno ","6.3","18"
"21219","I due marescialli ","7.2","399"
"21220","Romolo e Remo ","6","474"
"21221","Totò Peppino e... la dolce vita ","6.7","300"
"21222","Chi si ferma è perduto ","6.9","225"
"21223","I RAGAZZI DEI PARIOLI ","6","18"
"21224","Gioventù disperata ","5","5"
"21225","IL RAGAZZO DAL CUORE DI FANGO ",NA,NA
"21226","SUPREMA CONFESSIONE ",NA,NA
"21227","SUONNO D'AMMORE ",NA,NA
"21228","Carovana di canzoni ",NA,NA
"21229","Acque amare ","6.1","8"
"21230","THE TELL-TALE HEART ","3.6","213"
"21231","Baracca e burattini ",NA,NA
"21232","TERRORE ALLA TREDICESIMA ORA ",NA,NA
"21233","Cinque ore disperate ","6.1","60"
"21234","L'urlo di guerra degli Apaches ","5.4","487"
"21235","I GIGANTI UCCIDONO ","7.9","1754"
"21236","CHARLOTTE ET SON JULES ","6.6","1289"
"21237","Milano nera ","6.9","20"
"21238","La ragazza di Bube ","7","312"
"21239","Il commissario ","7.1","115"
"21240","A cavallo della tigre ","7.2","239"
"21241","VIAGGIO IN ORIENTE ",NA,NA
"21242","Tutti a casa ","7.8","775"
"21243","Le sorprese dell'amore ","6.3","207"
"21244","Mogli pericolose ","6.5","73"
"21245","Mariti in città ",NA,NA
"21246","La finestra sul Luna Park ","7.1","40"
"21247","La bella di Roma ","6.8","91"
"21248","La valigia dei sogni ","7","62"
"21249","Pane, amore e gelosia ","6.7","450"
"21250","MAFIOSI A MARSIGLIA ","4","6"
"21251","I FILIBUSTIERI DELLA MARTINICA ","5.9","15"
"21252","RASPUTIN ","7","623885"
"21253","La contessa di Castiglione ","5.1","18"
"21254","L'inverno ti farà tornare ",NA,NA
"21255","LA VOCE CHE UCCIDE ",NA,NA
"21256","Uno sconosciuto nel mio letto ","5","296"
"21257","IL TUO CORPO BRUCIA ","4.4","21"
"21258","IL RE DI POGGIOREALE ","7.9","23"
"21259","Questa è la Corea! ","6.1","129"
"21260","SOTTO DIECI BANDIERE ","6.6","384"
"21261","GLI ITALIANI SONO MATTI ","7.8","6"
"21262","LONDRA CHIAMA POLO NORD ","5.7","68"
"21263","Divisione Folgore ","7.1","45"
"21264","LA GRANDE SPERANZA ","5.8","106"
"21265","LA SQUADRA INFERNALE ","6.7","645"
"21266","Battaglia sulla spiaggia insanguinata ","5.6","355"
"21267","Mistero di Picasso ",NA,NA
"21268","La verità ",NA,NA
"21269","LE SPIE ","5.4","45560"
"21270","I diabolici ","8.1","54886"
"21271","FERNANDEL SCOPA E PENNEL ","5.1","24"
"21272","NON SPARATE ALLE BIONDE! ",NA,NA
"21273","MINORENNI PROIBITE ",NA,NA
"21274","LA GRANA ","5.7","6"
"21275","PRIGIONI DI DONNE ","4.8","8"
"21276","LA LEGGE DEL VIZIO ",NA,NA
"21277","MERCANTI DI DONNE ","5.9","7"
"21278","Anime bruciate ",NA,NA
"21279","CRISANTEMI PER UN DELITTO ","7","1593"
"21280","Che gioia vivere ","6.7","317"
"21281","DELITTO IN PIENO SOLE ","7.8","11503"
"21282","KARRIERE IN PARIS ",NA,NA
"21283","La diga sul Pacifico ","6.5","136"
"21284","GERVAISE ","7.5","961"
"21285","LE AMANTI DI MONSIEUR RIPOIS ","7","311"
"21286","SCHIAVE BIANCHE ","4.5","1293"
"21287","Suspense ","7.9","22984"
"21288","La strada dei quartieri alti ","7.7","4361"
"21289","L'abbraccio del ragno ","2.4","3371"
"21290","IL GRANDE PESCATORE ","5.8","291"
"21291","Bambola cinese ","5.9","337"
"21292","LIANA LA FIGLIA DELLA FORESTA ","5.3","338"
"21293","I due compari ","7.5","37"
"21294","VALENTINO ",NA,NA
"21295","L'eretico ",NA,NA
"21296","IL GUASCONE ","5.8","81"
"21297","UNSER TAGLICH BROT ","7.9","2466"
"21298","L'AGENTE FEDERALE LEMMY CAUTION ","6","93"
"21299","L'INESORABILE DETECTIVE ",NA,NA
"21300","Rocambole ","5.1","36"
"21301","LA VENDETTA DEI MOSCHETTIERI ","6.5","254"
"21302","IL MAGNIFICO DETECTIVE ","5.7","78"
"21303","LA RAPINA DI MONTPARNASSE ","6.2","74"
"21304","SANGUE SULL'ASFALTO ","4.9","11"
"21305","SPIONAGGIO SOTTO QUATTRO BANDIERE ","5","43"
"21306","Il gorilla vi saluta cordialmente ","6","251"
"21307","LE SIGNORE PREFERISCONO IL MAMBO ","5.3","93"
"21308","SHAITAN IL DIAVOLO AVVENTUROSO ","4.9","32"
"21309","OPERAZIONE DOLLARI ","6","124"
"21310","Cavalca e uccidi ","4.9","63"
"21311","CONTINENTE PERDUTO ","4.2","15"
"21312","SEGRETISSIMO SPIONAGGIO ","5.4","19"
"21313","I MASNADIERI ","6.3","12"
"21314","Gastone ","6.2","75"
"21315","GLI ULTIMI GIORNI DI POMPEI ","5.7","898"
"21316","Afrodite, dea dell'amore ","6.3","74"
"21317","Mi permette babbo! ","7","72"
"21318","La ladra ","6","12"
"21319","Tradita ","6.1","44"
"21320","IL DESTINO DI UN UOMO ","8.1","2233"
"21321","LA SPADA DELL'ISLAM ","6.6","205"
"21322","L'ULTIMO SOLE ",NA,NA
"21323","Giochi in colonia ","5.7","6"
"21324","LA CORRUZIONE ","7.2","197"
"21325","Agostino ","6.8","126"
"21326","SENILITA' ",NA,NA
"21327","LA VIACCIA ","7.1","334"
"21328","LA GIORNATA BALORDA ","7.1","122"
"21329","Il bell'Antonio ","7.5","1074"
"21330","La notte brava ","7.1","420"
"21331","Arrangiatevi! ","7.3","229"
"21332","GIOVANI MARITI ","6.7","93"
"21333","Marisa la civetta ","6.7","80"
"21334","Guardia, guardia scelta, brigadiere e maresciallo ","6.6","147"
"21335","GLI INNAMORATI ","6.7","108"
"21336","La vena d'oro ","6.9","69"
"21337","I CAVALIERI DELLA REGINA ",NA,NA
"21338","LA GRANDE BARRIERA ","7.3","13"
"21339","IL RE DI ROMA ",NA,NA
"21340","Alan, il conte nero ","6.4","649"
"21341","LE TRE ECCETERA DEL COLONELLO ","6.4","7"
"21342","JULIE ",NA,NA
"21343","SCIARADA ALLA FRANCESE ","6.5","83"
"21344","LA MOGLIE ADDOSSO ","5.2","22"
"21345","LE PARIGINE ","6.2","73"
"21346","QUELLA SERA SULLA SPIAGGIA ","5.7","34"
"21347","Sexy Girl ","6.3","487"
"21348","Furore di vivere ","6.6","285"
"21349","LE DONNE SONO DEBOLI ","6.7","160"
"21350","UNA PARIGINA ","6.3","723"
"21351","MADEMOISELLE PIGALLE ","5.9","385"
"21352","La valle dei mohicani ","7.1","2638"
"21353","JACK DIAMOND GANGSTER ","6.8","817"
"21354","L'ORO DELLA CALIFORNIA ","6.7","891"
"21355","Il cavaliere solitario ","7.9","1640"
"21356","Decisione al tramonto ","6.9","1947"
"21357","I tre banditi ","7.4","3729"
"21358","I SETTE ASSASSINI ","7.5","3942"
"21359","L'Assassino è Perduto ","6.7","1319"
"21360","IL GRANDE MATADOR ","5.9","156"
"21361","SANSONE CONTRO I PIRATI ","4","34"
"21362","Giulio Cesare il conquistatore delle Gallie ","4.9","171"
