"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10"
"Master of None ";"4.38";"2015";" Commedia";" USA";" 30 Min";" Universal Television";" In Lavorazione";" Aziz Ansari, Noël Wells, Eric Wareheim, Kelvin Yu, Lena Waithe, Alessandra Mastronardi";"                                            Dev Shah è un attore trentenne che cerca di cavarsela come meglio può a New York City. Mentre attende l'opportunità di una vita interpretando piccoli ruoli in qualche pubblicità, Dev si divide tra Rachel, il suo principale interesse amoroso, che lavora come pubblicista musicale, e i suoi amici Arnold, quello bianco del gruppo; Brian, figlio di immigrati taiwanesi; e Denise, un'afroamericana lesbica."
"Marvel - Jessica Jones ";"3.55";"2015";" Fantascienza";" USA";" 50 Min";" ABC Studios, Marvel Television";" In Lavorazione";" Krysten Ritter, Rachael Taylor, Eka Darville, Carrie-Anne Moss, Leah Gibson, J.R. Ramirez, Dave Tennant, Mike Colter, Wil Traval";"                                            L'ex supereroina Jessica Jones soffre di disturbo post-traumatico da stress in seguito a un grave trauma e alla tragica conclusione della sua carriera. Nel tentativo di cominciare una nuova vita, Jessica apre un'agenzia investigativa a New York, la Alias Investigations, dove affronta casi che coinvolgono persone dotate di poteri speciali. Ma, molto presto, l'eroina danneggiata si ritrova a fare i conti con il ritorno della sua nemesi, Kilgrave, un individuo che si aggira nell'ombra e ha il potere di controllare le menti."
"The Path ";"4.19";"2016";" Drammatico";" USA";" 47 Min";" Universal Television";" Cancellata";" Aaron Paul, Hugh Dancy, Michelle Monaghan, Emma Greenwell, Rockmond Dunbar, Kyle Allen, Amy Forsyth, Sarah Jones, Paul James";"                                            Cal Roberts è il leader carismatico del movimento religioso dei Meyeristi, che ha preso il nome del suo fondatore, il Dott. Steven Meyer, e ha sede a nord dello Stato di New York. Tra gli aderenti al culto c'è anche Eddie - un tormentato giovane uomo con un passato da tossicodipendente, sposato con una meyerista \"di nascita\" - il quale inizia ad avere dei dubbi sulla vera natura del movimento."
"Animal Kingdom ";"3.99";"2016";" Drammatico";" USA";" 45 Min";" Warner Horizon Television";" In Lavorazione";" Ellen Barkin, Shawn Hatosy, Ben Robson, Jake Weary, Finn Cole, Molly Gordon, Carolina Guerra, Scott Speedman, Daniella Alonso";"                                            Dopo la morte della madre per overdose, il 17enne Joshua 'J' Cody va a vivere in una città costiera della California del Sud nella famiglia degli zii Pope (appena uscito di prigione), Craig e Deran, nonché il loro fratello adottivo Baz, inclini a una vita di eccessi e indulgenza finanziata da attività criminali. A capo del clan c'è la nonna, la temibile matriarca Janine 'Smurf' Cody. In questo \"regno animale\", Josh deve mettere in atto strategie di sopravvivenza e decidere in fretta da che parte vuole stare."
"American Gothic ";"3.36";"2016";" Drammatico";" USA";" 42 Min";" CBS Television Studios";" Cancellata";" Juliet Rylance, Antony Starr, Virginia Madsen, Justin Chatwin, Megan Ketch, Elliot Knight, Stephanie Leonidas, Gabriel Bateman";"                                            La morte improvvisa del patriarca di una prominente famiglia di Boston, gli Hawthorne, porta casualmente alla luce l'oscuro passato dell'uomo, collegato a una lunga scia di delitti che minaccia di minare l'esistenza stessa dei suoi discendenti. Man mano che si susseguono sconvolgenti rivelazioni e scioccanti segreti sono svelati, cresce tra i membri della famiglia un clima di sospetto e paranoia, alimentato dalla convinzione che uno di loro sia stato complice degli omicidi e sia tuttora in attività."
"BrainDead ";"3.92";"2016";" Commedia";" USA";" 43 Min";" CBS Television Studios";" Cancellata";" Mary Elizabeth Winstead, Danny Pino, Aaron Tveit, Tony Shalhoub";"                                            Da sempre Laurel odia Washington e l'ambiente della politica dove i suoi vivono e lavorano. Per poter terminare un suo documentario, è costretta però ad accettare l'offerta di entrare per un periodo nello staff del fratello, il senatore democratico Luke Healey, e occuparsi dei suoi potenziali elettori. Mentre i due tradizionali schieramenti politici si danno battaglia senza esclusione di colpi e sullo sfondo infuria la lotta tra Donald Trump e Hillary Clinton per le candidature nei rispettivi partiti, Laurel diventa testimone di inquietanti fenomeni: teste che esplodono, persone che cambiano improvvisamente atteggiamento, diventano astemie e ipersalutiste e hanno una predilezione comune per la canzone \"You Might Think\" dei Cars. Responsabili di tutto ciò sono formiche aliene mangiacervelli, giunte sulla Terra in una specie di asteroide. Per capirne di più e fronteggiare l'invasione a Laurel non resta che allearsi con un paranoico complottista e una dottoressa il cui padre è stato la prima vittima di questo miniesercito."
"Into the Badlands ";"4.17";"2015";" Drammatico";" USA";" 42 Min";" AMC Studios";" In Lavorazione";" Daniel Wu, Orla Brady, Aramis Knight, Emily Beecham, Ally Ioannides, Nick Frost, Sherman Augustus, Lorraine Toussaint, Babou Ceesay";"                                            In un futuro in cui la Terra devastata dalla guerra è tornata a uno stato feudale, l'esperto di armi e arti marziali Sunny, un fedele e pericoloso guerriero al servizio del più potente Barone delle Badlands, Quinn, unisce le forze con M.K., un ragazzo rapito dal suo padrone con una misteriosa forza oscura al suo interno, per attraversare una terra insidiosa controllata da baroni feroci e soldati letali alla ricerca della madre e della patria del giovane, e con esse dell'illuminazione."
"Uncle Buck ";"1.13";"2016";" Commedia";" USA";" 21 Min";" ABC Studios, Universal Television";" Cancellata";" Mike Epps, Nia Long, James Lesure, Iman Benson, Sayeed Shahidi, Aalyrah Caldwell";"                                            Buck è uno zio amorevole ma irresponsabile in cerca di un lavoro e un posto dove stare. Quando, per una felice coincidenza, i suoi nipoti restano senza tata, suo fratello Will e la cognata Alexis confidano nel suo aiuto. La sua personalità fuori dal comune potrebbe essere adatta per la famiglia, come loro potrebbero essere la giusta risposta ai suoi problemi, ma Buck è un uomo infantile e imparare a fare l'adulto occupandosi dei nipoti si rivela un'avventura piena di imprevisti."
"The Ranch ";"3.93";"2016";" Commedia";" USA";" 30 Min";" Ranch Hand Productions";" In Lavorazione";" Ashton Kutcher, Sam Elliott, Debra Winger, Elisha Cuthbert, Danny Masterson";"                                            Una star del football mancata, Colt fa ritorno nella sua città natale nel Colorado sperando di cogliere un'opportunità e qui finisce con l'essere trascinato nuovamente nelle questioni della sua famiglia disfunzionale (e non solo) quando viene a sapere che il padre, un veterano di guerra duro e sboccato, è in guai finanziari. Colt decide quindi di unire le forze con il fratello maggiore, Jameson, che per tutto questo tempo ha vissuto nella sua ombra, nel tentativo di tenere in piedi il ranch di famiglia."
"Flaked ";"3.6";"2016";" Commedia";" USA";" 30 Min";" Electric Avenue Productions";" In Lavorazione";" Will Arnett, David Sullivan, Ruth Kearney, Lina Esco, George Basil";"                                            Chip è un sedicente \"guru\" di Venice, in California, le cui giornate si complicano quando perde la testa per l'interesse amoroso del suo migliore amico. Un punto di riferimento per chi è in cerca di riposte ma non altrettanto illuminato quando si tratta della sua vita, in poco tempo il groviglio di mezze-verità e mezze-stronzate che tengono in piedi la sua importante immagine si disfa, così come rischia di andare a farsi benedire la sobrietà riconquistata a fatica."
"Greenleaf ";"3.7";"2016";" Drammatico";" USA";" 42 Min";" Lionsgate Television";" In Lavorazione";" Keith David, Lynn Whitfield, Merle Dandridge, Desiree Ross, Lamman Rucker, Kim Hawthorne, Deborah Joy Winans, Tye White, Gregory Alan Williams";"                                            I Greenleaf sono una potente dinastia afroamericana di Memphis, nel Tennessee. Il suo patriarca, James Greenleaf, è il ledear carismatico e manipolatore della loro locale megachurch tentacolare, dove i segreti e gli scandali sono numerosi tanto quanto i fedeli. Nati dalla chiesa, James, sua moglie Lady Mae e i loro figli Jacob, Grace e Charity si amano e si prendono cura l'uno dell'altro, ma sotto il loro bel campanile si cela un covo di iniquità, avidità, adulterio, rivalità tra fratelli e valori in conflitto che minaccia di lacerare il cuore della fede che li tiene uniti."
"Roadies ";"3.97";"2016";" Commedia";" USA";" 60 Min";" Warner Bros. Television, Bad Robot Productions";" Cancellata";" Luke Wilson, Carla Gugino, Imogen Poots, Rafe Spall, Keisha Castle-Hughes, Peter Cambor, Colson Baker, Ron White";"                                            Uno sguardo dall'interno alle esperienze spericolate, romantiche, dissacranti e spesso struggenti di un gruppo di \"roadie\", addetti ai lavori che vivono per la musica e per la famiglia che di fatto hanno formato lungo la strada. Un viaggio dentro il mondo del rock attraverso gli occhi di eroi della musica non celebrati - chi lavora dietro le quinte per tenere lo spettacolo sulla strada durante il tour negli Stati Uniti di una band di successo, gli Staton-House. Lo staff risponde a Bill, manager stanco e assonnato affiancato dalla instancabile production manager Shelli, multitasker di prim'ordine appassionata di musica."
"Superstore ";"4.09";"2015";" Commedia";" USA";" 22 Min";" Universal Television";" In Lavorazione";" America Ferrera, Ben Feldman, Mark McKinney, Lauren Ash, Colton Dunn, Nichole Bloom, Nico Santos";"                                            Dai neofiti con gli occhi spalancati ai veterani che tutto vedono, dalle incompetenti manovalanze assunte per il periodo estivo ai direttori presi dalle proprie vite, gli impiegati del centro commerciale Cloud 9 di St. Louis affrontano insieme le sfide di ogni giorno - rabbiosi cacciatori di occasioni, sommosse provocate dalle svendite e corsi di formazione degni di un pisolino. Jonah, appena unitosi al gruppo, attira subito l'attenzione di Amy, una veterana di Cloud 9 arrivata a un punto in cui considera la sua vita professionale una delusione. Con loro lavorano anche Cheyenne e Garrett, mentre il manager Glenn cerca a fatica di far rigare dritto gli impiegati aiutato dalla sua ben più determinata vice Dina."
"Dead of Summer ";"3.78";"2016";" Horror";" USA";" 43 Min";" ABC Signature, Kitsis/Horowitz";" Cancellata";" Elizabeth Mitchell, Elizabeth Lail, Zelda Williams, Mark Indelicato, Alberto Frezza, Eli Goree, Ronen Rubinstein, Amber Coney, Paulina Singer";"                                            Negli Anni '80, un gruppo di ragazzi si ritrova nell'idilliaco Camp Clearwater, nel Midwest americano, per le vacanze estive. Ben presto, il sole che accoglie Amy, Mark, Cricket, Alex e gli altri lascia spazio all'oscurità e rende indimenticabile per ben altri motivi il campeggio, quando le antiche forze mitologiche del luogo si risvegliano e i malcapitati si trovano a fare i conti con la presenza di un male primigenio. Nel frattempo, la nuova proprietaria Deb Carpenter, un'ex campeggiatrice, si mostra come una donna cordiale e accogliente ma è mossa da interessi ben più oscuri."
"Regina del Sud ";"4.17";"2016";" Drammatico";" USA";" 43 Min";" Fox 21 Television Studios, Universal Cable Productions";" In Lavorazione";" Alice Braga, Veronica Falcón, Peter Gadiot, Hemky Madera, Nick Sagar, Gerardo Taracena, Joaquim de Almeida, Jon-Michael Ecker, Justina Machado";"                                            La bella e forte Teresa Mendoza è costretta a fuggire e cercare rifugio in America quando, inaspettatamente, il suo fidanzato, un trafficante di droga, resta ucciso in Messico. Negli States, Teresa unisce le forze con una figura improbabile del suo passato per distruggere il leader dello stesso cartello che ora la sta cercando. Un'avventura questa che la rafforza, ponendola tuttavia in una posizione ancora più pericolosa."
"The Real O'Neals ";"3.67";"2016";" Commedia";" USA";" 22 Min";" ABC Studios";" Cancellata";" Martha Plimpton, Jay R. Ferguson, Noah Galvin, Matt Shively, Bebe Wood, Mary Hollis Inboden";"                                            A Chicago, gli O'Neal, una famiglia cattolica apparentemente perfetta, vedono le proprie dinamiche prendere una piega inaspettata quando una verità sorprendete esce allo scoperto: Kenny, uno dei figli, dichiara la propria omosessualità. Invece di rovinare la loro armonia familiare, il coming out innesca un nuovo, caotico capitolo delle loro vite in cui tutti smettono di fingersi perfetti e cominciano a essere... veri."
"Crazy Ex-Girlfriend ";"3.56";"2015";" Musicale";" USA";" 42 Min";" CBS Television Studios, Warner Bros. Television";" In Lavorazione";" Rachel Bloom, Vincent Rodriguez III, Donna Lynne Champlin, Pete Gardner, Vella Lovell, Gabrielle Ruiz, David Hull, Scott Michael Foster, Santino Fontana";"                                            Rebecca Bunch è una giovane donna di successo, motivata e un po' pazza la quale decide impulsivamente di abbandonare tutto - la sua collaborazione presso un prestigioso studio legale e il suo appartamento di lusso a Manhattan - nel tentativo disperato di trovare l'amore e la felicità in quell'esotico ricettacolo di romanticismo e avventura che è il sobborgo di West Covina, in California. La sua speranza è riconquistare Josh Chan, suo primo amore e ora ex fidanzato, trasferitosi qui da poco. Trovati un nuovo lavoro, una nuova casa e nuovi amici, Rebecca finisce con l'essere sopraffatta da una relazione altalenante con Greg, l'amico di Josh."
"Guilt ";"3.97";"2016";" Drammatico";" USA";" 42 Min";" Freeform Original Productions, Lionsgate Television";" Cancellata";" Daisy Head, Emily Tremaine, Billy Zane, Cristian Solimeno, Naomi Ryan, Kevin Ryan, Zachary Fall, Simona Brown, Sam Cassidy";"                                            Una ragazza irlandese, coinquilina di Grace Atwood, una studentessa americana a Londra, viene brutalmente assassinata: quest'ultima, sospettata per l'omicidio, finisce al centro di quello che - alimentato da una stampa senza scrupoli e ghiotta di macabri dettagli - diventa ben presto un caso di rilevanza internazionale. Mentre l'inchiesta si dipana, le persone coinvolte nel mistero - dalla sospettata alla polizia, dalla pubblica accusa agli avvocati, dai tabloid alla famiglia della vittima - sono chiamate a chiedersi se lei sia solo una ragazza ingenua il cui nome è reso famoso dai titoli dei giornali o una sociopatica realmente responsabile del crimine."
"Between ";"3.69";"2015";" Fantascienza";" Canada";" 43 Min";" Don Carmody Television, Mulmur Feed Company, Elevation Pictures";" In Lavorazione";" Jennette McCurdy, Jesse Carere, Justin Kelly, Kyle Mac, Ryan Allen, Shailyn Pierre-Dixon, Brooke Palsson, Jordan Todosey, Jack Murray";"                                            Quando nella città di Pretty Lake una misteriosa malattia uccide improvvisamente tutte le persone di 22 anni o più, i pochi giovani sopravvissuti - bloccati all'interno di un'ampia zona di quarantena imposta dal governo - cercano di colmare il vuoto di potere e rimettere in piedi la società. Chuck, capitano della squadra di hockey della scuola, si fa carico della leadership, mentre l'adolescente incinta Wiley pianifica la fuga con il suo amico Adam. Ma sia loro sia i loro compagni di sventura si rendono conto ben presto che il pericolo incombe anche per loro."
"F is for Family ";"3.75";"2015";" Animazione";" USA";" 25 Min";" Gaumont International Television, Wild West Television";" In Lavorazione";" Bill Burr, Laura Dern, Justin Long, Haley Reinhart, Debi Derryberry, Sam Rockwell, Mo Collins, Trevor Devall, Phil Hendrie";"                                            Un padre di famiglia disilluso e irascibile, Frank Murphy trascorre le giornate lavorando presso un compagnia di volo, guardando la televisione e, ovviamente, cercando di prendersi cura con la moglie Sue, una casalinga modello, dei tre figli avuti insieme: Kevin, un adolescente che sembra ambire a una carriera da delinquente; Bill, timido, mingherlino e per questo spesso bullizzato dai coetanei; e Maureen, la principessa di papà, pungente e con una mente brillante. Insieme, i Murphy, una famiglia atipicamente americana, affrontano le sfide quotidiane di una vita negli Anni '70 - linguaggio e abusi emotivi di Frank permettendo."
"Designated Survivor ";"4";"2016";" Drammatico";" USA";" 42 Min";" ABC Studios";" In Lavorazione";" Kiefer Sutherland, Natascha McElhone, Maggie Q, Kal Penn, Adan Canto, Italia Ricci, LaMonica Garrett, Paulo Costanzo, Zoe McLellan";"                                            Quando un'esplosione al Campidoglio durante il discorso sullo Stato dell'Unione uccide il Presidente degli Stati Uniti d'America e tutti gli altri membri del Gabinetto, il Segretario della Casa e dello Sviluppo Urbano Tom Kirkman, l'unico nella linea di successione presidenziale rimasto in vita come \"sopravvissuto designato\", si ritrova improvvisamente alla guida del Paese. Mentre l'agente dell'FBI Hannah Wells indaga sul devastante attacco a Washington, Kirkman deve lottare per evitare che la nazione e la sua famiglia precipitino nel caos mentre affronta uno dei mandati più difficili della storia, ignaro che quanto accaduto sia solo l'inizio."
"Speechless ";"3.83";"2016";" Commedia";" USA";" 22 Min";" 20th Century Fox Television, ABC Studios";" In Lavorazione";" Minnie Driver, John Ross Bowie, Mason Cook, Micah Fowler, Kyla Kenedy, Cedric Yarbrough";"                                            Maya DiMeo è un'appassionata mamma con una missione: fare tutto il possibile per prendersi cura della sua famiglia - il marito Jimmy, che sembra più intelligente di quanto creda; la figlia Dylan, molto pratica e atletica; il figlio di mezzo Ray, il \"cervello\" di casa; e il maggiore J.J., diversamente abile. Mentre Maya lotta contro ingiustizie reali e immaginarie, i DiMeo sono in procinto di lasciare la loro casa per trasferirsi in un quartiere più elegante nella speranza di migliorare il loro stile di vita, con risultati discutibili."
"The Good Place ";"3.7";"2016";" Commedia";" USA";" 22 Min";" Universal Television";" In Lavorazione";" Kristen Bell, Ted Danson, William Jackson Harper, Jameela Jamil, Manny Jacinto, D'Arcy Carden";"                                            Dopo una bizzarra serie di eventi, Eleanor Shellstrop si risveglia nella \"parte buona\" dell'aldilà, dove tutti sono gentili e comportarsi in modo scorretto è impossibile. Guidata in questo universo da un saggio mentore di nome Michael, Eleanor scopre ben presto di essere stata scambiata per un'altra persona e di non essere stata così buona da meritarsi un posto simile. Bloccata in un mondo in cui nessuno impreca o si ubriaca e tutti sono sempre carini, Eleanor deve decidere se restare e scoprire il buono che è in lei o trovare un modo per riabbracciare il suo banale stile di vita sulla Terra."
"The Night Of ";"3.97";"2016";" Miniserie TV";" USA";" 60 Min";" BBC Worldwide Productions, Home Box Office (HBO)";" Conclusa";" Riz Ahmed, John Turturro, Bill Camp, Sofia Black-D'Elia, Peyman Moaadi, Poorna Jagannathan";"                                            Nel Queens, a New York, la vita dello studente universitario di origine pakistana Nasir 'Naz' Khan precipita nel caos quando una notte, preso il taxi del padre per raggiungere una festa, dà un passaggio a una giovane donna e, dopo una notte insieme a base di sesso e droga, si risveglia accanto al suo cadavere senza il minimo ricordo di cosa sia accaduto. Incastrato dall'arma del delitto e diverse testimonianze, Nasir si affida all'aiuto di un avvocato caduto in disgrazia, Jack Stone, per dimostrare la sua innocenza al processo."
"BoJack Horseman ";"3.95";"2014";" Animazione";" USA";" 25 Min";" ShadowMachine, Tornante Company";" In Lavorazione";" Will Arnett, Amy Sedaris, Alison Brie, Paul F. Tompkins, Aaron Paul";"                                            In un mondo in cui esseri umani e animali antropomorfi vivono fianco a fianco, il cavallo cinquantenne BoJack Horseman, fino agli Anni '90 star della sitcom \"Horsin' Around\", ha grandi piani per il suo ritorno sotto i riflettori, inclusa una biografia. Tutto molto bello se non fosse che BoJack deve fare i conti con le esigenze della sua agente, Princess Carolyn, con la quale ha una relazione altalenante, le continue buffonate del suo coinquilino, Todd Chavez, e il fatto di essere sopraffatto dalla frustrazione, dal disgusto per se stesso, dalla solitudine, dalle insicurezze e dal disperato bisogno di approvazione, tra i motivi per cui spesso alza troppo il gomito. Come se non bastasse, il suo peggior nemico, Mr. Peanutbutter, sta avendo una storia con Diane Nguyen, la sua ghostwriter."
"Vice Principals ";"3.83";"2016";" Commedia";" USA";" 22 Min";" Home Box Office (HBO)";" Conclusa";" Danny McBride, Walton Goggins, Georgia King, Busy Philipps, Shea Whigham, Kimberly Hebert Gregory, Sheaun McKinney";"                                            Neil Gamby è uno degli insegnanti e vicepresidi della North Jackson Lincoln High. Un uomo divorziato spesso di cattivo umore, dogmatico e antipatico con i colleghi, Neil mira all'ufficio del preside dopo il passo indietro del precedente dirigente scolastico. Tuttavia, si ritrova coinvolto in una lotta di potere con l'altro vicepreside della Lincoln High, Lee Russell, un uomo machiavellico, razzista e apparentemente sociopatico. Neil deve vedersela anche con Gale, la sua ex moglie e madre di suo figlio, la quale è andata avanti risposandosi."
"The Get Down ";"4";"2016";" Musicale";" USA";" 56 Min";" Sony Pictures Television";" Cancellata";" Justice Smith, Shameik Moore, Herizen F. Guardiola, Skylan Brooks, Tremaine Brown Jr., Yahya Abdul-Mateen II, Jimmy Smits, Mamoudou Athie";"                                            Nel 1977, in una New York sull'orlo della bancarotta, un gruppo di adolescenti le cui uniche armi sono i giochi di parole, i passi di danza improvvisati, i pennarelli colorati e le bombolette spray insegue i propri sogni nel South Bronx. Muovendosi tra i quartieri popolari e la scena artistica di SoHo, tra il club CBGB, lo Studio 54 e l'appena edificato World Trade Center, questi ragazzi pieni di talento e passione vogliono cambiare - attraverso la loro musica, i loro balli e la loro arte - il mondo per sempre."
"The Exorcist ";"4.22";"2016";" Horror";" USA";" 45 Min";" 20th Century Fox Television";" Cancellata";" Alfonso Herrera, Ben Daniels, Kurt Egyiawan, John Cho, Brianna Hildebrand, Zuleikha Robinson, Li Jun Li, Geena Davis, Alan Ruck";"                                            Come pastore progressista, ambizioso e compassionevole di una piccola ma affiatata congregazione nella periferia di Chicago, Padre Tomas Ortega è il nuovo volto della Chiesa. Nel frattempo, dall'altra parte del mondo, Padre Marcus Brennan, un orfano cresciuto dal Vaticano, non potrebbe essere più diverso: implacabile, irritante e completamente consumato dalla sua missione religiosa. Quando Angela Rance, matriarca in una famiglia apparentemente perfetta, comincia a sentire strani rumori in casa e notare comportamenti anomali in sua figlia, temendo una presenza demoniaca si rivolge a Padre Tomas in cerca di aiuto, mettendo involontariamente questo prete giovane e ingenuo in rotta di collisione con Padre Marcus, ed entrambi di fronte a un nemico insormontabile - il vero volto del male."
"Notorious ";"3.9";"2016";" Drammatico";" USA";" 43 Min";" ABC Studios, Sony Pictures Television";" Cancellata";" Daniel Sunjata, Piper Perabo, Kate Jennings Grant, Aimee Teegarden, J. August Richards, Sepideh Moafi, Ryan Guzman, Kevin Zegers";"                                            Quando i clienti del carismatico avvocato Jake Gregorian finiscono sotto i riflettori della nazione, lui usa i media a suo vantaggio, influenzando l'opinione pubblica. Nel frattempo, la produttrice esecutiva Julia George sfrutta la notorietà dei clienti di Jake per alimentare il successo del suo programma di approfondimento, \"Louise Herrick Live\". Mentre danno spettacolo in tv e manipolano i titoli dei giornali, che siano d'accordo o l'uno contro l'altra, Jake e Julia fanno qualsiasi cosa per raggiungere i propri scopi. L'unica regola è non mentirsi, perché, sebbene sia vero che nel loro mestiere il fine giustifichi i mezzi, il loro rapporto viene sempre prima."
"Pitch ";"4.01";"2016";" Drammatico";" USA";" 45 Min";" 20th Century Fox Television";" Cancellata";" Kylie Bunbury, Mark-Paul Gosselaar, Mo McRae, Ali Larter, Mark Consuelos, Dan Lauria, Meagan Holder, Tim Jo";"                                            Bella, forte e di talento, la lanciatrice Ginny Baker diventa improvvisamente famosa quando ottiene un ingaggio dai San Diego Padres e diventa la prima donna a giocare nel campionato professionistico di baseball. Come ogni matricola, Ginny deve dimostrare il proprio valore ai compagni di squadra, primo fra tutti il capitano, l'affascinante ricevitore e star del baseball Mike Lawson, con il quale condivide fin da subito una forte attrazione. Mentre i riflettori dei media si fanno incandescenti, Ginny affronta la difficile prova di scardinare uno dei più antichi ed esclusivi sistemi per soli uomini del Paese con l'aiuto del suo vecchio amico e collega Blip e della sua agente e confidente Amelia."
"Son of Zorn ";"3.87";"2016";" Commedia";" USA";" 22 Min";" 20th Century Fox Television";" Cancellata";" Jason Sudeikis, Cheryl Hines, Johnny Pemberton, Tim Meadows, Artemis Pebdani";"                                            Zorn, un guerriero animato di un'isola lontana nell'Oceano Pacifico, torna a Orange County nel tentativo di ricongiungersi con la sua famiglia umana - l'ex moglie Edie e il figlio 17enne Alan. Più facile a dirsi che a farsi, anche per un conquistatore che ha combattuto innumerevoli battaglie come lui. Gli sforzi di Zorn, infatti, sono complicati dal fatto che Edie sia ora fidanzata con Craig, un professore di psicologia. Ma lui non demorde: resta nei paraggi, affitta un appartamento e trova un lavoro, sebbene finisca presto col rendersi conto che la sfida della paternità può essere persino più ardua di una gigantesca creatura assetata di sangue, e la vita in periferia tanto noiosa quanto il suo lavoro d'ufficio."
"The Girlfriend Experience ";"3.94";"2016";" Drammatico";" USA";" 27 Min";" Transactional Pictures";" In Lavorazione";" Anna Friel, Louisa Krause, Carmen Ejogo, Narges Rashidi, Tunde Adebimpe, Morgana  Davies, Riley Keough, Paul Sparks, Mary Lynn Rajskub";"                                            Stagione 1: Christine Reade è una studentessa di legge che entra come stagista nel prestigioso studio legale Kirkland & Allen. Stressata dalla difficoltà di equilibrare studio, lavoro e spese personali, quando la sua amica Avery le rivela di fare la escort e la incoraggia a provare, presentandole uno dei suoi clienti, Christine accetta. Affascinata dalla possibilità di controllo che esercita sugli uomini, scopre ben presto che questa è in realtà una strada piena di insidie.Stagione 2: A Washington, a pochi giorni dalle elezioni di medio termine, a fronte della forte pressione per il conseguimento degli obiettivi, la direttrice finanziaria del comitato di raccolta fondi repubblicano Erica Myles chiede aiuto alla escort Anna Garner per affossare i suoi avversari politici, ritrovandosi coinvolta ben presto in una relazione saffica con lei. In Nuovo Messico, l'ex prostituta di alto bordo Bria Jones entra nel Programma Protezione Testimoni con la figliastra per nascondersi da un cliente pericoloso. Tuttavia, la sua decisione di rimettersi in attività minaccia la sua nuova identità e il benessere di Kayla e dell'U.S. Marshal che sta seguendo il suo caso."
"Timeless ";"4.05";"2016";" Fantascienza";" USA";" 45 Min";" Sony Pictures Television, Universal Television";" Conclusa";" Abigail Spencer, Matt Lanter, Malcolm Barrett, Goran Visnjic, Paterson Joseph, Sakina Jaffrey, Claudia Doumit";"                                            Quando un brillante e misterioso maestro del crimine si impadronisce di una macchina del tempo segreta con l'intento di distruggere l'America così come la conosciamo cambiando il passato, l'unica speranza dell'umanità è un improbabile trio formato da uno scienziato, un soldato e una professoressa di storia, i quali devono usare il prototipo imperfetto della macchina per fare ritorno ai momenti cruciali della storia. Mentre si sforzano di non influenzare essi stessi il passato, Rufus, Wyatt e Lucy lottano per stare un passo avanti al pericoloso latitante."
"Marvel - Luke Cage ";"4";"2016";" Fantascienza";" USA";" 52 Min";" ABC Studios, Marvel Television";" Cancellata";" Mike Colter, Simone Missick, Theo Rossi, Alfre Woodard, Stephen Rider, Finn Jones, Mustafa Shakir, Gabrielle Dennis, Jessica Henwick";"                                            Vittima di un sabotaggio durante un esperimento, l'ex detenuto Luke Cage si ritrova con una forza sovrumana e una pelle indistruttibile. Fuggiasco, cerca di ricostruirsi una vita a New York, nel quartiere di Harlem. Ben presto, però, è costretto a uscire dall'ombra per difendere il cuore della sua città, azioni queste che lo portano a confrontarsi con un passato che aveva cercato di cancellare."
"Bull ";"4.04";"2016";" Drammatico";" USA";" 43 Min";" CBS Television Studios";" In Lavorazione";" Michael Weatherly, Freddy Rodríguez, Geneva Carr, Christopher Jackson, Jaime Lee Kirchner, Annabelle Attanasio";"                                            Brillante, sfacciato e affascinante, il Dott. Jason Bull è a capo della Trial Analysis Corporation, una compagnia che analizza giurati, avvocati e testimoni per contribuire allo sviluppo di strategie di difesa vincenti. Bull si avvale di un invidiabile team di esperti formato dal perspicace avvocato difensore ed ex cognato Benny Colón, dall'esperta di neolinguistica del Dipartimento della Sicurezza Interna Marissa Morgan, dalla dura ma assimilabile ex detective di New York Danny James, dalla presuntuosa hacker Cable McCrory e dallo stilista Chunk Palmer. In alcuni dei processi più complessi della nazione, la combinazione delle notevoli capacità di comprensione della natura umana di Bull con questa squadra di alto livello contribuisce a far pendere l'ago della giustizia dalla parte giusta... quella dei suoi clienti."
"MacGyver ";"4.08";"2016";" Drammatico";" USA";" 43 Min";" CBS Television Studios, Lionsgate Television";" In Lavorazione";" Lucas Till, George Eads, Tristin Mays, Justin Hires, Meredith Eaton, Isabel Lucas, Sandrine Holt";"                                            Membro di un'organizzazione clandestina insita al governo degli Stati Uniti, il 20enne Angus 'Mac' MacGyver usa le sue straordinarie capacità e la sua vasta conoscenza scientifica per risolvere problemi non convenzionali e salvare vite umane. Nelle sue missioni pericolose in giro per il mondo, MacGyver è affiancato dall'anticonformista ex agente della CIA Jack Dalton, dall'ex agente sul campo e capo delle operazioni Patricia Thornton e dall'imprevedibile hacker con un chip nella spalla Riley Davis. Sotto l'egida del Dipartimento degli Esteri, questo moderno eroe ha la pesante responsabilità di salvare il mondo, armato fino ai denti di tanta intraprendenza."
