"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10"
"Grey's Anatomy ";"4.14";"2005";" Drammatico";" USA";" 43 Min";" ABC Studios";" In Lavorazione";" Ellen Pompeo, Justin Chambers, Chandra Wilson, James Pickens Jr., Kevin McKidd, Jesse Williams, Camilla Luddington, Caterina Scorsone, Kelly McCreary";"                                            Cinque tirocinanti e un solo obiettivo: diventare i medici più talentuosi del Paese. È questo lo scopo di Meredith Grey, ma anche della competitiva Cristina Yang, del pasticcione George O'Malley, dell'insicura ma piena di capacità Izzie Stevens, e dell'arrogante ma con un briciolo di cuore Alex Karev. Tra difficili casi medici e intricate tresche amorose, i cinque proveranno a sopravvivere e a crescere insieme."
"Private Practice ";"3.93";"2007";" Drammatico";" USA";" 42 Min";" ABC Studios";" Conclusa";" Kate Walsh, Taye Diggs, Paul Adelstein, KaDee Strickland, Amy Brenneman, Brian Benben, Caterina Scorsone, Benjamin Bratt, Griffin Gluck";"                                            Dopo aver scoperto la sua infertilità e compreso definitivamente che non c'è futuro tra lei e Derek, l'ex marito, la dottoressa Addison Montgomery decide di lasciare Seattle e iniziare una nuova vita a Los Angeles, cogliendo al volo l'opportunità che le è stata offerta da due amici di vecchia data: Sam e Naomi, in rotta di collisione da diverso tempo, che gestiscono una clinica privata, l'Oceanside Wellness Group."
"Heroes ";"3.85";"2006";" Fantascienza";" USA";" 45 Min";" NBC Universal Television";" Cancellata";" Masi Oka, Hayden Panettiere, Cristine Rose, Adrian Pasdar, Greg Grunberg, Sendhil Ramamurthy, Ali Larter, Milo Ventimiglia, James Kyson Lee";"                                            Mentre ha luogo un'eclissi, un giovane studioso distrutto per la scomparsa del padre, scopre una teoria finora rimasta segreta: alcune persone sparse in luoghi diversi del pianeta sono dotate di grandi poteri soprannaturali; come predire il futuro, teletrasportarsi, resistere a qualsiasi danno fisico, o fermare il tempo. Grazie a tali abilità, questi eroi, probabilmente legati da un'unica connessione, contribuiranno alla salvezza del mondo."
"One Tree Hill ";"4.19";"2003";" Drammatico";" USA";" 42 Min";" Warner Bros. Television";" Conclusa";" James Lafferty, Sophia Bush, Bethany Joy Lenz, Austin Nichols, Robert Buckley, Shantel VanSanten, Jackson Brundage, Lee Norris, Jana Kramer";"                                            Nathan Scott, un attraente e popolare atleta, è la star assoluta dei Ravens, la squadra di basket di Tree Hill. La sua vita cambia radicalmente quando il fratellastro Lucas irrompe nella sua quotidianità, pronto a rubargli il posto in squadra. Anche lui figlio di Dan Scott, un ambizioso uomo d'affari dal quale è stato sempre rinnegato, Lucas inizia una nuova vita piena di contrasti e rivalità, soprattutto quando conquista il cuore della bella Peyton."
"NCIS ";"4.08";"2003";" Drammatico";" USA";" 43 Min";" CBS Television Studios";" In Lavorazione";" Mark Harmon, David McCallum, Sean Murray, Rocky Carroll, Brian Dietzen, Emily Wickersham, Wilmer Valderrama, Maria Bello, Diona Reasonover";"                                            Jethro Gibbs è un agente intelligente e professionale. A capo della NCIS, l'unità anticrimine che ha lo scopo di risolvere i crimini che coinvolgono membri della Marina Militare degli Stati Uniti, Jethro e il suo team affrontano i casi più disparati, dallo spionaggio al terrorismo, dall'omicidio al furto di armamenti militari. Casi che portano spesso la NCIS a muoversi per il pianeta pur di incastrare il colpevole, indistintamente dal suo grado."
"The Big Bang Theory ";"4.09";"2007";" Commedia";" USA";" 21 Min";" Warner Bros. Television";" In Lavorazione";" Jim Parsons, Johnny Galecki, Kaley Cuoco, Simon Helberg, Kunal Nayyar, Melissa Rauch, Mayim Bialik, Kevin Sussman, Laura Spencer";"                                            Leonard e Sheldon sono due giovani fisici brillanti ma socialmente impacciati. Fuori dal laboratorio e dal loro disordinato appartamento c'è un mondo da scoprire, e i due ne diventano davvero consapevoli quando si imbattono nella loro nuova vicina di casa, Penny, una ragazza il cui fascino è scontato tanto quanto la loro intelligenza. La situazione, tuttavia, è destinata a complicarsi quando uno dei due si innamora della ragazza."
"Due uomini e mezzo ";"3.93";"2003";" Commedia";" USA";" 22 Min";" Warner Bros. Television";" Conclusa";" Ashton Kutcher, Jon Cryer, Holland Taylor, Marin Hinkle, Caonchata Ferrell, Amber Tamblyn, Angus T. Jones, Melanie Lynskey, Charlie Sheen";"                                            Alan e suo figlio Jake si trasferiscono nella casa sulla spiaggia di Charlie in seguito alla separazione del primo dalla moglie, che ha scoperto di essere lesbica. Crescere il figlio in casa del fratello, un irrefrenabile Don Giovanni, si rivela tuttavia un'impresa ardua, soprattutto se consideriamo che Alan - uno scapolo che è esattamente l'opposto di Charlie - si trova ogni volta a dover competere con lui per la conquista della ragazza single di turno."
"Ghost Whisperer ";"4.11";"2005";" Fantasy";" USA";" 42 Min";" ABC Studios, CBS Television Studios";" Cancellata";" Jennifer Love Hewitt, David Conrad, Camryn Manheim, Jamie Kennedy, Christoph Sanders, Jay Mohr, Aisha Tyler";"                                            Melinda Gordon sembra una donna comune, ma non lo è per nulla. Sin da quando è una bambina, Melinda sa di essere diversa, di avere un dono fuori dal comune: poter vedere e parlare con le anime delle persone morte, rimaste per qualche ragione ancorate al mondo dei vivi. Queste presenze chiedono aiuto a Melinda affinché lei possa aiutarle a risolvere alcune questioni rimaste in sospeso, prima di poter raggiungere l'aldilà."
"Glee ";"4.23";"2009";" Musicale";" USA";" 42 Min";" 20th Century Fox Television";" Conclusa";" Lea Michele, Matthew Morrison, Jane Lynch, Chris Colfer, Kevin McHale, Darren Criss, Chord Overstreet, Amber Riley, Dot Marie Jones";"                                            Will Schuester, professore di spagnolo alla William McKinley High School, decide di portare a nuova gloria il Glee Club. La sua iniziativa, però, non stuzzica l'interesse degli studenti; per lo più cheerleader e giocatori di football apatici. Will riesce a formare un gruppo, e nonostante i suoi ragazzi promettono bene, loro sono considerati tra i più \"sfigati\" del liceo. A ostacolarlo anche la collega Sue Sylvester, allenatrice delle cheerleader."
"Bones ";"4.09";"2005";" Drammatico";" USA";" 42 Min";" 20th Century Fox Television";" Conclusa";" Emily Deschanel, David Boreanaz, Michaela Conlin, T.J. Thyne, Tamara Taylor, John Boyd, John Francis Daley, Eric Millegan, Jonathan Adams";"                                            La dottoressa Temperance Brennan è una brillante e ambiziosa antropologa in servizio presso il Jeffersonian Institute. Lei è caparbia sul lavoro ma non nella vita privata, ciò nonostante abbia accanto a sé un agente affascinante e scettico di nome Seeley Booth. Grazie all'aiuto del suo team, Temperance cerca di risolvere i crimini analizzando i residui ossei delle vittime, spesso decomposte o martoriate da esplosioni, torture o gravi ustioni."
